year,country,type,n,region,subregion,intermediate_region,least_developed,land_locked_developing,small_island_developing,code_region,code_subregion,code_intermediate_region,code_m49,code_iso_alpha2,code_iso_alpha3
2006,Slovakia,cv,0,Europe,Eastern Europe,NA,0,0,0,150,151,NA,703,SK,SVK
2006,Slovenia,pv,115000,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2006,Slovenia,cv,35320,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2006,South Africa,pv,334482,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2006,South Africa,cv,253237,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2006,South Korea,pv,3489136,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2006,South Korea,cv,350966,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2006,Spain,pv,2078639,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
2006,Spain,cv,698796,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
2006,Sweden,pv,288583,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2006,Sweden,cv,44585,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2006,Taiwan,pv,211306,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2006,Taiwan,cv,91915,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2006,Thailand,pv,298819,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2006,Thailand,cv,895607,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2006,Turkey,pv,545682,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2006,Turkey,cv,442098,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2006,Ukraine,pv,274860,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2006,Ukraine,cv,20400,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2006,United Kingdom,pv,1442085,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2006,United Kingdom,cv,206303,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2006,USA,pv,4366220,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2006,USA,cv,6897766,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2006,Uzbekistan,pv,100000,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2006,Uzbekistan,cv,10000,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2006,Others,pv,376110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Others,cv,155496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Argentina,pv,350735,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2007,Argentina,cv,193912,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2007,Australia,pv,283348,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2007,Australia,cv,51269,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2007,Austria,pv,199969,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2007,Austria,cv,28097,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2007,Belgium,pv,789674,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2007,Belgium,cv,44729,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2007,Brazil,pv,2391354,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2007,Brazil,cv,585796,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
