year,region,type,n
2020,EU,cv,2123764
2021,EU,pc,11782751
2021,EU,cv,2350868
2005,Europe,pc,17906455
2005,Europe,cv,3156871
2006,Europe,pc,18685556
2006,Europe,cv,3178284
2007,Europe,pc,19618588
2007,Europe,cv,3388134
2008,Europe,pc,18821599
2008,Europe,cv,3050831
2009,Europe,pc,16608761
2009,Europe,cv,2036590
2010,Europe,pc,16499863
2010,Europe,cv,2308825
2011,Europe,pc,17167600
2011,Europe,cv,2572419
2012,Europe,pc,16191269
2012,Europe,cv,2471909
2013,Europe,pc,15942273
2013,Europe,cv,2401136
2014,Europe,pc,16154279
2014,Europe,cv,2433371
2015,Europe,pc,16410563
2015,Europe,cv,2625426
2016,Europe,pc,17291819
2016,Europe,cv,2843010
2017,Europe,pc,17974281
2017,Europe,cv,2780818
2018,Europe,pc,17909677
2018,Europe,cv,2785551
2019,Europe,pc,17972774
2019,Europe,cv,2834391
2020,Europe,pc,14177970
2020,Europe,cv,2534928
2021,Europe,pc,14020486
2021,Europe,cv,2854407
2005,Ivory Coast,pc,2000
2005,Ivory Coast,cv,1000
2006,Ivory Coast,pc,2500
2006,Ivory Coast,cv,1000
2007,Ivory Coast,pc,2000
2007,Ivory Coast,cv,2000
2008,Ivory Coast,pc,2500
2008,Ivory Coast,cv,1500
2009,Ivory Coast,pc,3000
2009,Ivory Coast,cv,1500
2010,Ivory Coast,pc,3500
2010,Ivory Coast,cv,2000
2011,Ivory Coast,pc,3500
2011,Ivory Coast,cv,2000
2012,Ivory Coast,pc,5000
2012,Ivory Coast,cv,2500
2013,Ivory Coast,pc,4000
2013,Ivory Coast,cv,2000
2014,Ivory Coast,pc,4300
2014,Ivory Coast,cv,2100
2015,Ivory Coast,pc,4500
2015,Ivory Coast,cv,2600
2016,Ivory Coast,pc,4300
2016,Ivory Coast,cv,2100
2017,Ivory Coast,pc,5552
2017,Ivory Coast,cv,3001
2018,Ivory Coast,pc,6075
2018,Ivory Coast,cv,3565
2019,Ivory Coast,pc,7522
2019,Ivory Coast,cv,3643
2005,Macedonia,pc,9300
2005,Macedonia,cv,760
2006,Macedonia,pc,10000
2006,Macedonia,cv,790
2007,Macedonia,pc,10200
2007,Macedonia,cv,1000
2008,Macedonia,pc,10500
2008,Macedonia,cv,1000
2009,Macedonia,pc,6000
2009,Macedonia,cv,800
2010,Macedonia,pc,8500
2010,Macedonia,cv,1000
2011,Macedonia,pc,8500
2011,Macedonia,cv,900
2012,Macedonia,pc,5000
2012,Macedonia,cv,650
2013,Macedonia,pc,2000
2013,Macedonia,cv,800
2014,Macedonia,pc,2700
2014,Macedonia,cv,800
2015,Macedonia,pc,3200
2015,Macedonia,cv,700
2016,Macedonia,pc,3800
2016,Macedonia,cv,500
2017,Macedonia,pc,3273
2017,Macedonia,cv,504
2018,Macedonia,pc,3885
2018,Macedonia,cv,515
2019,Macedonia,pc,4060
2019,Macedonia,cv,600
2005,Nafta,pc,9221429
2005,Nafta,cv,11021550
2006,Nafta,pc,9301364
2006,Nafta,cv,10597660
2007,Nafta,pc,9045313
2007,Nafta,cv,10256166
2008,Nafta,pc,8230872
2008,Nafta,cv,8009579
2009,Nafta,pc,6569033
2009,Nafta,cv,6290318
2010,Nafta,pc,6833529
2010,Nafta,cv,7370432
2011,Nafta,pc,7363460
2011,Nafta,cv,8234154
2012,Nafta,pc,8639763
2012,Nafta,cv,8886925
2013,Nafta,pc,9039173
2013,Nafta,cv,9725335
2014,Nafta,pc,9194809
2014,Nafta,cv,10715347
2015,Nafta,pc,9121342
2015,Nafta,cv,12053273
2016,Nafta,pc,8599729
2016,Nafta,cv,12897512
2017,Nafta,pc,7704315
2017,Nafta,cv,14169953
2018,Nafta,pc,6752475
2018,Nafta,cv,15152399
2019,Nafta,pc,5973328
2019,Nafta,cv,14842202
2020,Nafta,pc,4253021
2020,Nafta,cv,13192459
2021,Nafta,pc,4190767
2021,Nafta,cv,13969353
2020,Other Countries,pc,182625
2020,Other Countries,cv,33285
2021,Other Countries,pc,194715
2021,Other Countries,cv,42488
2020,Other Countries/Regions,pc,92463
2020,Other Countries/Regions,pc,189795
2020,Other Countries/Regions,pc,294228
2020,Other Countries/Regions,pc,133416
2020,Other Countries/Regions,cv,14380
2020,Other Countries/Regions,cv,64175
2020,Other Countries/Regions,cv,105352
2020,Other Countries/Regions,cv,64957
2021,Other Countries/Regions,pc,82252
2021,Other Countries/Regions,pc,244814
2021,Other Countries/Regions,pc,320408
2021,Other Countries/Regions,pc,159319
2021,Other Countries/Regions,cv,14567
2021,Other Countries/Regions,cv,93097
2021,Other Countries/Regions,cv,115346
2021,Other Countries/Regions,cv,67955
2005,"Russia, Turkey & Other Europe",pc,2284420
2005,"Russia, Turkey & Other Europe",cv,592870
2006,"Russia, Turkey & Other Europe",pc,2724418
2006,"Russia, Turkey & Other Europe",cv,622932
2007,"Russia, Turkey & Other Europe",pc,3471314
2007,"Russia, Turkey & Other Europe",cv,665197
2008,"Russia, Turkey & Other Europe",pc,3909719
2008,"Russia, Turkey & Other Europe",cv,576805
2009,"Russia, Turkey & Other Europe",pc,2075646
2009,"Russia, Turkey & Other Europe",cv,342992
2010,"Russia, Turkey & Other Europe",pc,2669169
2010,"Russia, Turkey & Other Europe",cv,474429
2011,"Russia, Turkey & Other Europe",pc,3524941
2011,"Russia, Turkey & Other Europe",cv,550641
2012,"Russia, Turkey & Other Europe",pc,3623366
2012,"Russia, Turkey & Other Europe",cv,681481
2013,"Russia, Turkey & Other Europe",pc,3597858
2013,"Russia, Turkey & Other Europe",cv,609510
2014,"Russia, Turkey & Other Europe",pc,3092818
2014,"Russia, Turkey & Other Europe",cv,499471
2015,"Russia, Turkey & Other Europe",pc,2122682
2015,"Russia, Turkey & Other Europe",cv,459026
2016,"Russia, Turkey & Other Europe",pc,2131580
2016,"Russia, Turkey & Other Europe",cv,434800
2017,"Russia, Turkey & Other Europe",pc,2342998
2017,"Russia, Turkey & Other Europe",cv,490183
2018,"Russia, Turkey & Other Europe",pc,2273193
2018,"Russia, Turkey & Other Europe",cv,396169
2019,"Russia, Turkey & Other Europe",pc,2152825
2019,"Russia, Turkey & Other Europe",cv,343895
2020,"Russia, Turkey & Other Europe",pc,2221978
2020,"Russia, Turkey & Other Europe",cv,411164
2021,"Russia, Turkey & Other Europe",pc,2237735
2021,"Russia, Turkey & Other Europe",cv,503539
2020,Total Oica Members,pc,47930408
2020,Total Oica Members,cv,22005464
2021,Total Oica Members,pc,49761621
2021,Total Oica Members,cv,22957816
